Study_ID,AUTHORS,TITLE,JOURNAL,YEAR,VOLUME,NUMBER,PAGES,PUBLISHER,ADDRESS,ISSN,DOI_OR_LINK,PUBLICATION_TYPE
2638,Parks et al.,Seasonal and annual movement patterns of polar bears on the sea ice of Hudson Bay.,Canadian Journal Of Zoology,2006,84,9,1281-1294,CANADIAN SCIENCE PUBLISHING,"65 AURIGA DR, SUITE 203, OTTAWA, ON K2E 7W6, CANADA",0008-4301,10.1139/Z06-115,Article
2639,Chapman CA.,Association patterns of spider monkeys: the influence of ecology and sex on social organization.,,1990,26,6,409-414,SPRINGER VERLAG,"175 FIFTH AVE, NEW YORK, NY 10010",0340-5443,NA,Article
2640,Nunes A.,Foraging and ranging patterns in white-bellied spider monkeys.,Folia Primatologica,1995,65,2,85-99,KARGER,"ALLSCHWILERSTRASSE 10, CH-4009 BASEL, SWITZERLAND",0015-5713,10.1159/000156873,Article
2641,"Harris, C. E.",Differential behavior of coyotes with regard to home range limits.,NA,1983,NA,NA,NA,Utah State University,NA,NA,NA,Book
2642,Allen et al.,Composition and stability of coyote families and territories in North Dakota.,Prairie Naturalist,1987,19,NA,107--114,NA,NA,NA,NA,Article
2643,"Benson, B.N.,","Dominance relationships, mating behaviour and scent marking in fox squirrels (Sciurus niger).",Mammalia,1980,44,2,143-\&,MUSEUM NAT HIST NATURELLE,"55 RUE DE BUFFON, 75005 PARIS, FRANCE",0025-1461,10.1515/mamm.1980.44.2.143,Article
2644,Krebs et al.,Movements of feral house mice in agricultural landscapes.,Australian Journal Of Zoology,1995,43,3,293-302,C S I R O PUBLICATIONS,"150 OXFORD ST, PO BOX 1139, COLLINGWOOD VICTORIA 3066, AUSTRALIA",0004-959X,10.1071/ZO9950293,Article
2645,"Sparrowe, R. D., and P. F. Springer.",Seasonal activity patterns of white-tailed deer in eastern South Dakota.,Journal Of Wildlife Management,1970,34,2,420-\&,WILDLIFE SOC,"5410 GROSVENOR LANE, BETHESDA, MD 20814-2197",0022-541X,10.2307/3799028,Article
2646,Seidensticker,On the ecological separation between tigers and leopards.,Biotropica,1976,NA,NA,225--234,JSTOR,NA,NA,NA,Article
2647,"Oates, J. F.",The guereza and its food,"Primate Ecology: Studies Of Feeding And Ranging Behaviour In Lemurs, Monkeys, And Apes",1977,NA,NA,275--321,Academic Press,NA,NA,NA,Article
2648,"Chundawat RS, Gogate N, Johnsingh AJT",Tigers in Panna: preliminary results from an Indian tropical dry forest.,Riding The Tiger: Tiger Conservation In Human-Dominated Landscapes,1999,NA,NA,123--129,"Cambridge University Press Cambridge, UK",NA,NA,NA,Article
2649,"Sharma RK, Jhala YV, Qureshi Q","Home range size of a tigress in Sundarbans, India: preliminary results.",Catnews,2011,54,NA,13--16,NA,NA,NA,NA,Article
2650,Majumder et al.,"Home ranges of Bengal tiger (Panthera tigris tigris L.) in Pench Tiger Reserve, Madhya Pradesh, Central India.",Wildl Biol Pract,2012,8,1,36--49,NA,NA,NA,NA,Article
2651,Priatna et al.,Home range and movements of male translocated problem tigers in Sumatra.,Aj Of Conserv Biol,2012,1,1,20--30,NA,NA,NA,NA,Article
2652,"Chundawat, Raghunandan Singh; Sharma, Koustubh; Gogate, Neel; Malik, Pradeep K.; Vanak, Abi Tamim",Size matters: Scale mismatch between space use patterns of tigers and protected area size in a Tropical Dry Forest,BIOLOGICAL CONSERVATION,2016,197,NA,146-153,Elsevier,NA,NA,10.1016/j.biocon.2016.03.004,Article
2653,"Warren, A.E.",Ecology of the Southeastern Pocket Gopher (Geomys pinetis) in southwestern Georgia.,NA,2014,NA,NA,NA,NA,NA,NA,NA,PhDThesis
2654,Gavrilov et al.,Home range and habitat use of brown bear in Bulgaria: The first data based on GPS-Telemetry.,Acta Zoologica Bulgarica,2015,67,4,493-499,"INST ZOOLOGY, BAS","1000 SOFIA, 1, TSAR OSVOBODITEL BLVD, SOFIA, 00000, BULGARIA",0324-0770,NA,Article
2655,"Kohn, B. E., and J. J. Mooty.",Summer habitat of white-tailed deer in north-central Minnesota.,JOURNAL OF WILDLIFE MANAGEMENT,1971,35,3,476-481,WILDLIFE SOC,"5410 GROSVENOR LANE, BETHESDA, MD 20814-2197",0022-541X,10.2307/3799701,Article
2656,"Hoskinson, R. L., and L. D. Mech.",White-tailed deer migration and its role in wolf predation.,Journal Of Wildlife Management,1976,40,3,429-441,WILEY,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",0022-541X,10.2307/3799944,Article
2657,"Mourão G, Medri IM.",A new way of using inexpensive large-scale assembled GPS to monitor giant anteaters in short time intervals.,Wildlife Society Bulletin,2002,30,4,1029-1032,WILDLIFE SOC,"5410 GROSVENOR LANE, BETHESDA, MD 20814-2197 USA",0091-7648,NA,Article
2658,"Grimes, K. H.",Guereza Dietary and Behavioural Patterns at the Entebbe Botanical Gardens,NA,2000,NA,NA,NA,University of Calgary,NA,NA,NA,Book
2659,"Rojano-Bolaño C, Giraldo MEL, Miranda-Cortés L, Avilán RA.","Área de vida y uso de hábitats de dos individuos de oso palmero (Myrmecophaga tridactyla) en Pore, Casanare, Colombia.",Edentata,2015,16,NA,37--45,NA,NA,NA,NA,Article
2660,"Sargeant, A. B., and D. W. Warner.",Movements and denning habits of a badger,Journal Of Mammalogy,1972,53,1,207-221,AMER SOC MAMMALOGISTS,"BRIGHAM YOUNG UNIV, DEPT OF ZOOLOGY, PROVO, UT 84602",0022-2372,10.2307/1378851,Note
2661,Ballard et al.,Comparison of VHF and satellite telemetry for estimating sizes of wolf territories in northwest Alaska.,Wildlife Society Bulletin,1998,26,4,823-829,WILDLIFE SOC,"5410 GROSVENOR LANE, BETHESDA, MD 20814-2197 USA",0091-7648,NA,Article
2662,Molsher et al.,Home ranges of feral cats (Felis catus) in central-western New South Wales.,Wildlife Research,2005,32,7,587-595,C S I R O PUBLISHING,"150 OXFORD ST, PO BOX 1139, COLLINGWOOD, VICTORIA 3066, AUSTRALIA",1035-3712,10.1071/WR04093,Article
2663,"Langham, N. P. E., and Porter, R. E. R.",Feral cats (Felis catus) on New Zealand Farmland. I. Home range.,Wildlife Research,1991,18,6,741--760,CSIRO Publishing,NA,NA,NA,Article
2664,"Schwarz, E.","Habitat use in a population of mainland Tasmanian feral cats, Felis catus.",NA,1995,NA,NA,NA,NA,NA,NA,NA,PhDThesis
2665,"Leuthold, W.",Social organization and behaviour of giraffe in Tsavo East National Park.,African Journal Of Ecology,1979,17,1,19--34,Wiley Online Library,NA,NA,NA,Article
2666,Geissel et al.,The ecology of the salt-marsh harvest mouse (Reithrodontomys raviventris) in a diked salt marsh.,JOURNAL OF MAMMALOGY,1988,69,4,696-703,AMER SOC MAMMALOGISTS,"BRIGHAM YOUNG UNIV, DEPT OF ZOOLOGY, PROVO, UT 84602",0022-2372,10.2307/1381624,Article
2667,"Ribic, C. A.",Autumn movement and home range of sea otters in California.,Journal Of Wildlife Management,1982,46,3,795-801,WILDLIFE SOC,"5410 GROSVENOR LANE, BETHESDA, MD 20814-2197",0022-541X,10.2307/3808578,Note
2668,Heide-Jørgensen et al.,The migratory behaviour of narwhals (Monodon monoceros).,Canadian Journal Of Zoology-Revue Canadienne De Zoologie,2003,81,8,1298-1305,NATL RESEARCH COUNCIL CANADA,"RESEARCH JOURNALS, MONTREAL RD, OTTAWA, ONTARIO K1A 0R6, CANADA",0008-4301,10.1139/Z03-117,Article
2669,"Korstjens, A. H.","The Mob, the Secret Sorority, and the Phantoms: An Analysis of the Socio-ecological Strategies of the Three Colobines at Tai.","Ph. D. Dissertation, Utrecht University",2001,NA,NA,NA,NA,NA,NA,NA,PhDThesis
2670,"Wolfe, A. & Hayden, T.J.",Home range sizes of Irish mountain hares on coastal grassland.,Biology And Environment-Proceedings Of The Royal Irish Academy,1996,96B,3,141-146,ROYAL IRISH ACADEMY,"19 DAWSON STREET, DUBLIN 2, IRELAND",0791-7945,NA,Article
2671,"Alho CJR, Pereira LA",Population ecology of a cerrado rodent community in central Brazil.,Revista Brasileira De Biologia,1985,45,4,597--607,NA,NA,NA,NA,Article
2672,Magnusson et al.,Home range size and territoriality in Bolomys lasiurus (Rodentia: Muridae) in an Amazonian savanna.,Journal Of Tropical Ecology,1995,11,2,179-188,CAMBRIDGE UNIV PRESS,"40 WEST 20TH STREET, NEW YORK, NY 10011-4211",0266-4674,10.1017/S0266467400008622,Article
2673,Simeonovska-Nikolova D. M.,"Spatial organization of the mound-building mouse, Mus spicilegus in the region of the northern Bulgaria.",Acta Zoologica Sinica,2007,53,1,22--28,NA,NA,NA,NA,Article
2674,"Crawshaw, P.G.",Comparative ecology of ocelot (Felis pardalis) and jaguar (Panthera onca) in a protected subtropical forest in Brazil and Argentina,NA,1995,NA,NA,NA,NA,NA,NA,NA,PhDThesis
2675,"Ramsey DSL, Cowan DP",Mortality rate and movements of brushtail possums with clinical tuberculosis (Mycobacterium bovis) infection.,New Zealand Veterinary Journal,2003,51,4,179-185,TAYLOR \& FRANCIS LTD,"2-4 PARK SQUARE, MILTON PARK, ABINGDON OR14 4RN, OXON, ENGLAND",0048-0169,10.1080/00480169.2003.36361,Article
2676,Alt et al.,Dynamics of home range and movements of adult black bears in northeastern Pennsylvania.,Bears: Their Biology And Management,1980,NA,NA,131--136,JSTOR,NA,NA,NA,Article
2677,Fleming.,Population ecology of three species of Neotropical rodents,NA,1971,NA,NA,NA,University of Michigan Museum of Zoology,NA,NA,NA,Article
2678,Bergallo.,Ecology of a small mammal community in an Atlantic forest area in Southeastern Brazil,STUDIES ON NEOTROPICAL FAUNA AND ENVIRONMENT,1994,29,4,197-217,SWETS ZEITLINGER PUBLISHERS,"P O BOX 825, 2160 SZ LISSE, NETHERLANDS",0165-0521,10.1080/01650529409360932,Article
2679,"Anyango, D. C., & Were‐Kogogo, P. J. A.","Movement patterns and home range sizes of the Rothschild's giraffes (Giraffa camelopardalis rothschildi) translocated to Ruma National Park, Kenya.",The International Journal Of Engineering And Science,2013,2,7,14--22,NA,NA,NA,NA,Article
2680,"McKey, D. B., and Waterman, P. G.","Ranging behavior of a group of black colobus (Colobus satanas) in the Douala-Edea Reserve, Cameroon",Folia Primatologica,1982,39,03/Apr,264-304,KARGER,"ALLSCHWILERSTRASSE 10, CH-4009 BASEL, SWITZERLAND",0015-5713,10.1159/000156081,Article
2681,"Langman, V. A.",Cow‐calf relationships in giraffe (Giraffa camelopardalis giraffa).,"Zeitschrift F\""Ur Tierpsychologie",1977,43,3,264--286,Wiley Online Library,NA,NA,NA,Article
2682,"Brand, R.","Evolutionary ecology of giraffes (Giraffa camelopardalis) in Etosha National Park, Namibia.",NA,2007,NA,NA,NA,NA,NA,NA,NA,PhDThesis
2683,"Du Toit, J. T.",Patterns of resource use within the browsing ruminant guild in the central Kruger national park.,NA,1989,NA,NA,NA,University of the Witwatersrand,NA,NA,NA,PhDThesis
2684,"Le Pendu, Y., & Ciofolo, I.",Seasonal movements of giraffes in Niger.,Journal Of Tropical Ecology,1999,15,3,341-353,CAMBRIDGE UNIV PRESS,"40 WEST 20TH STREET, NEW YORK, NY 10011-4211 USA",0266-4674,NA,Article
2685,Bearder and Martin.,The social organization of a nocturnal primate revealed by radiotracking.,NA,1980,NA,NA,633--648,Elsevier,NA,NA,NA,Book
2686,Crompton and Andau.,Locomotion and habitat utilization in free-ranging Tarsius bancanus: a preliminary report.,Primates,1986,27,3,337-355,JAPAN MONKEY CENTRE,"PRIMATES, EDITORIAL OFFICE, INUYAMA AICHI 484, JAPAN",0032-8332,10.1007/BF02382075,Article
2687,Layne and Glover.,Home range of the armadillo in Florida.,Journal Of Mammalogy,1977,58,3,411--413,JSTOR,NA,NA,NA,Article
2688,Clark.,Ecological life history of the armadillo in the eastern Edwards Plateau region.,American Midland Naturalist,1951,46,2,337-358,AMER MIDLAND NATURALIST,"UNIV NOTRE DAME, BOX 369, ROOM 295 GLSC, NOTRE DAME, IN 46556",0003-0031,10.2307/2421982,Article
2689,Fitch et al.,The armadillo in the southeastern United States,JOURNAL OF MAMMALOGY,1952,33,1,21-37,AMER SOC MAMMALOGISTS,"BRIGHAM YOUNG UNIV, DEPT OF ZOOLOGY, PROVO, UT 84602",0022-2372,10.2307/1375638,Article
2690,Eisenberg and Lockhart.,An ecological reconnaissance of Wilpattu National Park.,NA,1972,NA,NA,NA,NA,NA,NA,NA,Article
2691,"Robinson JG.,","Seasonal variation in use of time and space by the wedge‐capped capuchin monkey, Cebus olivaceus: implications for foraging theory",NA,1986,NA,NA,NA,NA,NA,NA,NA,Article
2692,Choudhury A.,Ecology and behaviour of the pigtailed macaque Macaca nemestrina leonina in some forest of Assam in north-east India.,Journal Of The Bombay Natural History Society,2008,105,3,279--291,NA,NA,NA,NA,Article
2693,"Soini, P.","A synecological study of a primate community in the Pacaya-Samiria National Reserve, Peru.",Primate Conserv,1986,7,NA,63--71,NA,NA,NA,NA,Article
2694,"Hofmann, J. E., and J. E. Gardner.",A radiotelemetric study of home range size and dispersal of the marsh rice rat (Oryzomys palustris) in southern Illinois: progress report.,NA,1992,NA,NA,NA,INHS Center for Biogeographic Information,NA,NA,NA,TechReport
2695,McIntyre et al.,Ecological correlates of serological status for bayou virus in Oryzomys palustris (Rodentia: Sigmodontinae).,Mastozoolog Ia Neotropical,2009,16,1,83--93,Sociedad Argentina para el Estudio de los Mam\'\iferos,NA,NA,NA,Article
2696,"Yeager, C. P.",Feeding ecology of the proboscis monkey (Nasalis larvatus).,INTERNATIONAL JOURNAL OF PRIMATOLOGY,1989,10,6,497-530,PLENUM PUBL CORP,"233 SPRING ST, NEW YORK, NY 10013",0164-0291,10.1007/BF02739363,Article
2697,Huang et al.,Effect of habitat fragmentation on ranging behavior of white-headed langurs in limestone forests in southwest China.,Primates,2017,58,3,423-434,SPRINGER JAPAN KK,"CHIYODA FIRST BLDG EAST, 3-8-1 NISHI-KANDA, CHIYODA-KU, TOKYO, 101-0065",0032-8332,10.1007/s10329-017-0600-4,Article
2698,Schülke et al.,"Ecology of Assamese macacaques (Macaca assamensis) at Phu Phieo wildlife sanctuary, Thailand.",Journal Of Wildlife In Thailand,2011,18,1,1--15,NA,NA,NA,NA,Article
2699,Chaverri et al.,Ecological correlates of range size in the tent-making bat Artibeus watsoni.,Journal Of Mammalogy,2007,88,2,477-486,ALLIANCE COMMUNICATIONS GROUP DIVISION ALLEN PRESS,"810 EAST 10TH STREET, LAWRENCE, KS 66044 USA",0022-2372,10.1644/05-MAMM-A-260R2.1,Article
2700,"How, R. A., and Hillcox, S. J.","Brushtail possum populations in south-western Australia: demography, diet and conservation status.",Wildlife Research,2000,27,1,81--89,CSIRO Publishing,NA,NA,NA,Article
2701,Vogel ER.,"The ecological basis of aggression in white-faced capuchin monkeys, Cebus capucinus, in a Costa Rican dry forest",NA,2004,NA,NA,NA,State University of New York at Stony Brook,NA,NA,NA,Book
2702,Adam et al.,Foraging areas and habitat use of the Virginia big-eared bat in Kentucky.,Journal Of Wildlife Management,1994,58,3,462-469,WILDLIFE SOC,"5410 GROSVENOR LANE, BETHESDA, MD 20814-2197",0022-541X,10.2307/3809317,Article
2703,"Wada K, Ichiki Y.","Seasonal home range use by Japanese monkeys (Macaca fuscata) in the snow Shiga Heights, Japan.",Primates,1980,21,4,468--483,Springer,NA,NA,NA,Article
2704,"Sugiyama Y, Yoshiba K.","Home range, mating season, male group and inter-troop relations in Hanuman langurs (Presbytis entellus).",Primates,1965,6,1,73--106,Springer,NA,NA,NA,Article
2705,Wood et al.,Ecology of sympatric populations of mule deer and white-tailed deer in a prairie environment.,NA,1989,NA,NA,NA,"Wildlife Division, Montana Dept. of Fish, Wildlife \& Parks,",NA,NA,NA,Article
2706,Heezen and Tester.,Evaluation of radio-tracking by triangulation with special reference to deer movements.,Journal Of Wildlife Management,1967,31,1,124-\&,WILDLIFE SOC,"5410 GROSVENOR LANE, BETHESDA, MD 20814-2197",0022-541X,10.2307/3798367,Article
2707,"Cross, S. P.",Behavioral aspects of western gray squirrel ecology,NA,1969,NA,NA,NA,The University of Arizona,NA,NA,NA,Book
2708,"Foster, S. A.",Studies of ecological factors that affect the population and distribution of the western gray squirrel in north central Oregon.,NA,1992,NA,NA,NA,Portland State University,NA,NA,NA,PhDThesis
2709,Michallet J.,Domaines vitaux et déplacements de Bouquetins des Alpes (Capra ibex L.) dans le massif de Belledonne-Sept-Laux: bilan de deux années de suivi télémetrique.,Travaux Scientifiques Du Parc National De La Vanoise,1994,18,NA,239--247,NA,NA,NA,NA,Article
2710,"Williams JM, Oehlert GW, Carlis JV, Pusey AE",Why do male chimpanzees defend a group range?,Animal Behaviour,2004,68,3,523--532,Elsevier,NA,NA,NA,Article
2711,"Overdorff,D. J.",Ecological and reproductive correlates to range use in red-bellied lemurs (Eulemur rubriventer) and rufous lemurs (Eulemur fulvus rufus),NA,1993,NA,NA,167--178,Springer,NA,NA,NA,Book
2712,Rossi et al.,Male and female spatial behaviour of roe deer (Capreolus capreolus) in a mountainous habitat during pre-rutting and rutting period.,Journal Of Mountain Ecology,2001,6,1,1--6,Gran Paradiso National Park,NA,NA,NA,Article
2713,"Smith, T. R., and M. R. Pelton.",Home ranges and movements of black bears in bottomland hardwood forest in Arkansas.,Bears: Their Biology And Management,1990,NA,NA,213--218,JSTOR,NA,NA,NA,Article
2714,Leary et al.,Yuppy bandicoots of inner west Sydney – in hiding or urban renewal?,NA,2010,NA,NA,415--425,"Royal Zoological Society of New South Wales PO Box 20, Mosman NSW 2088~…",NA,NA,NA,Book
2715,"Jeppesen, J. L.",Home range and movements of free ranging roe deer (Capreolus capreolus) at Kalo.,Game Biology Station,1990,NA,NA,NA,Game Biology Station,NA,NA,NA,Article
2716,O’Brien et al.,"Fire, demography and the persistence of siamang (Symphalangus syndactylus: Hylobatidae) in a Sumatran rainforest.",Animal Conservation,2003,6,2,115-121,WILEY,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",1367-9430,10.1017/S1367943003003159,Article
2717,"Raun, G. G.",A population of woodrats (Neotoma micropus) in southern Texas.,NA,1966,NA,NA,NA,Texas Memorial Museum,NA,NA,NA,Book
2718,Lyons et al.,"Black bear resource selection in the northeast Cascades, Washington.",Biological Conservation,2003,113,1,55-62,ELSEVIER SCI LTD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND",0006-3207,10.1016/S0006-3207(02)00349-X,Article
2719,"Newhouse, N.J. and T.A. Kinley.",Ecology of American badgers near their range limit in southeastern British Columbia.,"Columbia Basin Fish And Wildlife Compensation Program, Nelson, Bc",2000,NA,NA,NA,NA,NA,NA,NA,Article
2720,"Duquette, J. F.",Population ecology of badgers (Taxidea taxus) in Ohio,NA,2008,NA,NA,NA,The Ohio State University,NA,NA,NA,PhDThesis
2721,Copeland JP,Biology of the wolverine in central Idaho.,NA,1996,NA,NA,NA,"University of Idaho Moscow, USA",NA,NA,NA,MasterThesis
2722,Buckley BJ,Ranging behaviour of wild male orang-utans in an unfragmented Bornean habitat: Implications for mating-system mechanics,NA,2015,NA,NA,NA,Citeseer,NA,NA,NA,PhDThesis
2723,Benkobi et al.,Seasonal migration and home ranges of female elk in the Black Hills of South Dakota and Wyoming.,NA,2005,NA,NA,NA,NA,NA,NA,NA,Article
2724,Dahl F,Life and death of the mountain hare in the boreal forest of Sweden.,NA,2005,2005,2005:48:00,NA,NA,NA,NA,NA,Book
2725,"Smith, D. H. et al.",Selection of alpine grasslands over beech forest by stoats (Mustela erminea) in montane southern New Zealand.,New Zealand Journal Of Ecology,2007,31,1,88-97,NEW ZEALAND ECOL SOC,"PO BOX 25178, CHRISTCHURCH, NEW ZEALAND",0110-6465,NA,Article
2726,"Lisgo, K. A.",Ecology of the short-tailed weasel (Mustela erminea) in the mixedwood Boreal forest of Alberta,NA,1999,NA,NA,NA,University of British Columbia,NA,NA,NA,PhDThesis
2727,Ostfeld et al.,Space use and reproductive success in a population of meadow voles.,JOURNAL OF ANIMAL ECOLOGY,1988,57,2,385-394,BLACKWELL SCIENCE LTD,"OSNEY MEAD, OXFORD, OXON, ENGLAND OX2 0EL",0021-8790,10.2307/4912,Article
2728,"Godsell, J.","Ecology of the eastern quoll, Dasyurus viverrinus (Dasyuridae: Marsupialia).",NA,1983,NA,NA,NA,The Australian National University (Australia),NA,NA,NA,Book
2729,"Niewold F. J. J.,",Aspects of the social structure of red fox populations: A summary.,NA,1980,NA,NA,185--193,Springer,NA,NA,NA,Book
2730,Mech L. D.,"Age, sex, reproduction, and spatial organization of lynxes colonizing northeastern Minnesota.",Journal Of Mammalogy,1980,61,2,261--267,"American Society of Mammalogists 810 East 10th Street, PO Box 1897, Lawrence~…",NA,NA,NA,Article
2731,Briggs et al.,A five-year study (1975–1979) of the home range of the cottontail rabbit [Sylvilagus floridanus alacer (Bangs)] on stripmined land in southeast Kansas.,Transactions Of The Kansas Academy Of Science (1903),1983,NA,NA,24--30,JSTOR,NA,NA,NA,Article
