Study_ID,Species,subspecies,AUTHORS,TITLE,JOURNAL,YEAR,VOLUME,NUMBER,PAGES,PUBLISHER,ADDRESS,ISSN,DOI_OR_LINK,type
2477,Lepus timidus,NA,"Bisi, F; Nodari, M; Oliveira, NMD; Ossi, F; Masseroni, E; Preatoni, DG; Wauters, LA; Martinoli, A",Habitat selection and activity patterns in Alpine mountain hare (Lepus timidus varronis),Mammalian Biology,2013,78,1,28-33,"ELSEVIER GMBH, URBAN \& FISCHER VERLAG","OFFICE JENA, P O BOX 100537, 07705 JENA, GERMANY",1616-5047,10.1016/j.mambio.2012.05.004,Article
2479,Acinonyx jubatus,NA,"Bissett, C; Bernard, RTF",Habitat selection and feeding ecology of the cheetah (Acinonyx jubatus) in thicket vegetation: is the cheetah a savanna specialist?,Journal Of Zoology,2007,271,3,310-317,WILEY,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",0952-8369,10.1111/j.1469-7998.2006.00217.x,Article
2491,Pithecia irrorata,NA,"Palminteri, S; Peres, CA","Habitat Selection and Use of Space by Bald-Faced Sakis (Pithecia irrorata) in Southwestern Amazonia: Lessons from a Multiyear, Multigroup Study",International Journal Of Primatology,2012,33,2,401-417,SPRINGER,"ONE NEW YORK PLAZA, SUITE 4600, NEW YORK, NY, UNITED STATES",0164-0291,10.1007/s10764-011-9573-0,Article
2501,Ursus americanus,NA,"Brodeur, V; Ouellet, JP; Courtois, R; Fortin, D",Habitat selection by black bears in an intensively logged boreal forest,Canadian Journal Of Zoology,2008,86,11,1307-1316,CANADIAN SCIENCE PUBLISHING,"65 AURIGA DR, SUITE 203, OTTAWA, ON K2E 7W6, CANADA",0008-4301,10.1139/Z08-118,Article
2506,Cervus canadensis,NA,"Hinton, JW; Freeman, AE; St-Louis, V; Cornicelli, L; D'Angelo, GJ",Habitat Selection by Female Elk During Minnesota's Agricultural Season,Journal Of Wildlife Management,2020,84,5,957-967,WILEY,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",0022-541X,10.1002/jwmg.21850,Article
2520,Rhinolophus euryale,NA,"Russo, D., Jones, G. & Migliozzi, A.","Habitat selection by the Mediterranean horseshoe bat, Rhinolophus euryale(Chiroptera: Rhinolophidae) in a rural area of southern Italy and implications for conservation Biological Conservation, 107, 71-81.",Biological Conservation,2002,107,1,71--81,Elsevier,NA,NA,https://doi.org/10.1016/S0006-3207(02)00047-2,Article
2535,Capra ibex,NA,"Scillitani, L; Darmon, G; Monaco, A; Cocca, G; Sturaro, E; Rossi, L; Ramanzin, M",Habitat selection in translocated gregarious ungulate species: An interplay between sociality and ecological requirements,Journal Of Wildlife Management,2013,77,4,761-769,WILEY,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",0022-541X,10.1002/jwmg.517,Article
2554,Eulemur fulvus,NA,"Sato, H",Habitat shifting by the common brown lemur (Eulemur fulvus fulvus): a response to food scarcity,Primates,2013,54,3,229-235,SPRINGER JAPAN KK,"CHIYODA FIRST BLDG EAST, 3-8-1 NISHI-KANDA, CHIYODA-KU, TOKYO, 101-0065",0032-8332,10.1007/s10329-013-0353-7,Article
2569,Lepus europaeus,NA,"Ferretti, M; Paci, G; Porrini, S; Galardi, L; Bagliacca, M","Habitat use and home range traits of resident and relocated hares (Lepus europaeus, Pallas)",Italian Journal Of Animal Science,2010,9,3,278-284,TAYLOR \& FRANCIS LTD,"2-4 PARK SQUARE, MILTON PARK, ABINGDON OR14 4RN, OXON, ENGLAND",1594-4077,10.4081/ijas.2010.e54,Article
2578,Dendrohyrax arboreus,NA,"Milner, JM; Harris, S","Habitat use and ranging behaviour of tree hyrax, Dendrohyrax arboreus, in the Virunga Volcanoes, Rwanda",African Journal Of Ecology,1999,37,3,281-294,BLACKWELL SCIENCE LTD,"P O BOX 88, OSNEY MEAD, OXFORD OX2 0NE, OXON, ENGLAND",0141-6707,10.1046/j.1365-2028.1999.00185.x,Article
2579,Pan paniscus,NA,"Hashimoto, C; Tashiro, Y; Kimura, D; Enomoto, T; Ingmanson, EJ; Idani, G; Furuichi, T",Habitat use and ranging of wild bonobos (Pan paniscus) at Wamba,International Journal Of Primatology,1998,19,6,1045-1060,KLUWER ACADEMIC/PLENUM PUBL,"233 SPRING ST, NEW YORK, NY 10013 USA",0164-0291,10.1023/A:1020378320913,Article
2607,Eremitalpa granti,NA,"Rathbun, GB; Rathbun, CD",Habitat use by radio-tagged Namib Desert golden moles (Eremitalpa granti namibensis),African Journal Of Ecology,2007,45,2,196-201,BLACKWELL PUBLISHING,"9600 GARSINGTON RD, OXFORD OX4 2DQ, OXON, ENGLAND",0141-6707,10.1111/j.1365-2028.2006.00704.x,Article
2636,Canis lupus,NA,"Dellinger, JA; Shores, CR; Craig, A; Heithaus, MR; Ripple, WJ; Wirsing, AJ",Habitat use of sympatric prey suggests divergent anti-predator responses to recolonizing gray wolves,Oecologia,2019,189,2,487-500,SPRINGER,"233 SPRING ST, NEW YORK, NY 10013 USA",0029-8549,10.1007/s00442-018-4323-z,Article
2637,Lepus timidus,NA,"Hiltunen, M; Kauhala, K; Linden, H",Habitat use of the mountain hare Lepus timidus in summer: the importance of different vegetation layers,Acta Theriologica,2004,49,4,479-490,POLISH ACAD SCIENCES,"MAMMAL RESEARCH INST, 17-230 BIALOWIEZA, POLAND",0001-7051,10.1007/BF03192592,Article
2644,Vulpes velox,NA,"Kamler, JF; Ballard, WB; Fish, EB; Lemons, PR; Mote, K; Perchellet, CC","Habitat use, home ranges, and survival of swift foxes in a fragmented landscape: Conservation implications",Journal Of Mammalogy,2003,84,3,989-995,OXFORD UNIV PRESS INC,"JOURNALS DEPT, 2001 EVANS RD, CARY, NC 27513 USA",0022-2372,10.1644/BJK-033,Article
