"original_study_ID";"new_study_ID"
"8";1
"12";2
"15";3
"22";4
"27";5
"28";6
"32";7
"36";8
"59";9
"99";10
"102";11
"113";12
"136";13
"147";14
"151";15
"161";16
"173";17
"196";18
"202";19
"203";20
"230";21
"244";22
"246";23
"286";24
"295";25
"317";26
"337";27
"346";28
"350";29
"351";30
"356";31
"376";32
"386";33
"396";34
"404";35
"423";36
"432";37
"437";38
"446";39
"472";40
"480";41
"485";42
"496";43
"515";44
"528";45
"529";46
"543";47
"551";48
"555";49
"561";50
"563";51
"579";52
"585";53
"586";54
"590";55
"594";56
"604";57
"631";58
"636";59
"649";60
"731";61
"732";62
"743";63
"747";64
"756";65
"769";66
"780";67
"800";68
"825";69
"827";70
"835";71
"845";72
"869";73
"883";74
"885";75
"894";76
"901";77
"910";78
"980";79
"983";80
"994";81
"995";82
"1010";83
"1024";84
"1026";85
"1027";86
"1028";87
"1035";88
"1037";89
"1070";90
"1093";91
"1095";92
"1103";93
"1125";94
"1138";95
"1139";96
"1147";97
"1184";98
"1209";99
"1210";100
"1223";101
"1228";102
"1243";103
"1245";104
"1278";105
"1279";106
"1302";107
"1330";108
"1333";109
"1339";110
"1341";111
"1356";112
"1364";113
"1366";114
"1369";115
"1371";116
"1372";117
"1373";118
"1381";119
"1389";120
"1391";121
"1425";122
"1427";123
"1432";124
"1436";125
"1442";126
"1449";127
"1459";128
"1464";129
"1474";130
"1477";131
"1480";132
"1490";133
"1518";134
"1521";135
"1523";136
"1525";137
"1528";138
"1552";139
"1577";140
"1595";141
"1597";142
"1600";143
"1604";144
"1616";145
"1617";146
"1625";147
"1631";148
"1639";149
"1640";150
"1642";151
"1656";152
"1678";153
"1683";154
"1684";155
"1704";156
"1710";157
"1718";158
"1734";159
"1739";160
"1740";161
"1742";162
"1747";163
"1769";164
"1780";165
"1814";166
"1849";167
"1856";168
"1880";169
"1889";170
"1931";171
"1965";172
"1969";173
"1970";174
"1981";175
"1984";176
"1987";177
"1993";178
"2016";179
"2043";180
"2067";181
"2081";182
"2087";183
"2090";184
"2115";185
"2129";186
"2135";187
"2137";188
"2138";189
"2150";190
"2154";191
"2166";192
"2176";193
"2195";194
"2198";195
"2200";196
"2222";197
"2223";198
"2230";199
"2239";200
"2266";201
"2273";202
"2291";203
"2364";204
"2365";205
"2371";206
"2378";207
"2394";208
"2399";209
"2401";210
"2424";211
"2442";212
"2458";213
"2460";214
"2463";215
"2480";216
"2482";217
"2483";218
"2484";219
"2495";220
"2496";221
"2508";222
"2513";223
"2514";224
"2518";225
"2541";226
"2545";227
"2549";228
"2564";229
"2571";230
"2574";231
"2577";232
"2583";233
"2585";234
"2587";235
"2588";236
"2594";237
"2597";238
"2608";239
"2616";240
"2626";241
"2628";242
"2638";243
"2648";244
"2649";245
"2655";246
"2661";247
"2668";248
"2684";249
"2694";250
"2701";251
"2702";252
"2709";253
"2713";254
"2714";255
"2717";256
"2718";257
"2724";258
"2728";259
"2731";260
"2737";261
"2741";262
"2743";263
"2744";264
"2747";265
"2758";266
"2762";267
"2763";268
"2764";269
"2775";270
"2783";271
"2791";272
"2794";273
"2800";274
"2801";275
"2804";276
"2808";277
"2812";278
"2814";279
"2817";280
"2832";281
"2839";282
"2847";283
"2851";284
"2858";285
"2868";286
"2872";287
"2875";288
"2882";289
"2883";290
"2893";291
"2896";292
"2902";293
"2921";294
"2923";295
"2930";296
"2937";297
"2948";298
"2951";299
"2954";300
"2962";301
"2970";302
"2972";303
"2974";304
"2978";305
"2980";306
"2986";307
"2987";308
"2994";309
"2997";310
"2999";311
"3000";312
"3001";313
"3007";314
"3011";315
"3014";316
"3016";317
"3021";318
"3027";319
"3035";320
"3038";321
"3041";322
"3042";323
"3054";324
"3069";325
"3075";326
"3078";327
"3079";328
"3087";329
"3088";330
"3089";331
"3093";332
"3094";333
"3099";334
"3102";335
"3105";336
"3110";337
"3112";338
"3117";339
"3118";340
"3137";341
"3143";342
"3148";343
"3150";344
"3155";345
"3220";346
"3223";347
"3238";348
"3244";349
"3245";350
"3251";351
"3257";352
"3268";353
"3278";354
"3319";355
"3322";356
"3329";357
"3344";358
"3348";359
"3365";360
"3369";361
"3377";362
"3385";363
"3390";364
"3402";365
"3404";366
"3409";367
"3412";368
"3414";369
"3437";370
"3442";371
"3446";372
"3452";373
"3453";374
"3464";375
"3494";376
"3560";377
"3563";378
"3593";379
"3637";380
"3665";381
"3712";382
"3714";383
"3724";384
"3726";385
"3752";386
"3770";387
"3775";388
"3795";389
"3800";390
"3821";391
"3835";392
"3845";393
"3877";394
"3884";395
"3899";396
"3905";397
"3948";398
"3952";399
"3975";400
"3978";401
"3981";402
"3994";403
"4010";404
"4014";405
"4016";406
"4026";407
"4030";408
"4043";409
"4050";410
"4051";411
"4052";412
"4055";413
"4061";414
"4065";415
"4067";416
"4080";417
"4082";418
"4088";419
"4092";420
"4099";421
"4105";422
"4106";423
"4107";424
"4108";425
"4111";426
"4116";427
"4127";428
"4132";429
"4141";430
"4145";431
"4161";432
"4162";433
"4165";434
"4212";435
"4215";436
"4220";437
"4231";438
"4251";439
"4256";440
"4263";441
"4266";442
"4269";443
"4301";444
"4302";445
"4310";446
"4313";447
"4318";448
"4334";449
"4336";450
"4338";451
"4365";452
"4375";453
"4382";454
"4392";455
"4398";456
"4413";457
"4461";458
"4473";459
"4492";460
"4509";461
"4562";462
"4571";463
"4587";464
"4588";465
"4595";466
"4612";467
"4626";468
"4630";469
"4636";470
"4639";471
"4643";472
"4645";473
"4680";474
"4711";475
"4759";476
"4763";477
"4784";478
"4788";479
"4793";480
"4795";481
"4809";482
"4819";483
"4820";484
"4827";485
"4828";486
"4830";487
"4840";488
"4845";489
"4850";490
"4851";491
"4854";492
"4855";493
"4858";494
"4860";495
"4866";496
"4867";497
"4872";498
"4873";499
"4885";500
"4894";501
"4900";502
"4903";503
"4904";504
"4912";505
"4927";506
"4939";507
"4971";508
"5016";509
"5017";510
"5019";511
"5046";512
"5050";513
"5051";514
"5061";515
"5065";516
"5072";517
"5083";518
"5089";519
"5092";520
"5097";521
"5098";522
"5106";523
"5116";524
"5124";525
"5145";526
"5175";527
"5178";528
"5183";529
"5193";530
"5208";531
"5218";532
"5223";533
"5238";534
"5257";535
"5272";536
"5277";537
"5285";538
"5297";539
"5306";540
"5311";541
"5315";542
"5318";543
"5321";544
"5322";545
"5328";546
